Date,Date,Region,Confirmed_Cases,Active_Cases,Cured/Discharged,Death,Forecasted,Forecasted_high,Forecasted_low
24-04-2020,24-04-2020,Andaman and Nicobar Islands,22,11,11.0,0.0,,,
25-04-2020,25-04-2020,Andaman and Nicobar Islands,27,16,11.0,0.0,,,
26-04-2020,26-04-2020,Andaman and Nicobar Islands,33,22,11.0,0.0,,,
27-04-2020,27-04-2020,Andaman and Nicobar Islands,33,22,11.0,0.0,,,
28-04-2020,28-04-2020,Andaman and Nicobar Islands,33,22,11.0,0.0,,,
29-04-2020,29-04-2020,Andaman and Nicobar Islands,33,18,15.0,0.0,,,
30-04-2020,30-04-2020,Andaman and Nicobar Islands,33,18,15.0,0.0,,,
01-05-2020,01-05-2020,Andaman and Nicobar Islands,33,17,16.0,0.0,,,
02-05-2020,02-05-2020,Andaman and Nicobar Islands,33,17,16.0,0.0,,,
03-05-2020,03-05-2020,Andaman and Nicobar Islands,33,17,16.0,0.0,,,
04-05-2020,04-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0,,,
05-05-2020,05-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0,,,
06-05-2020,06-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0,,,
07-05-2020,07-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0,,,
08-05-2020,08-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
09-05-2020,09-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
10-05-2020,10-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
11-05-2020,11-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
12-05-2020,12-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
13-05-2020,13-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
14-05-2020,14-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
15-05-2020,15-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
16-05-2020,16-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
17-05-2020,17-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
18-05-2020,18-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
19-05-2020,19-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
20-05-2020,20-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
21-05-2020,21-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
22-05-2020,22-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
23-05-2020,23-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
24-05-2020,24-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
25-05-2020,25-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
26-05-2020,26-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
27-05-2020,27-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
28-05-2020,28-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
29-05-2020,29-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
30-05-2020,30-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
31-05-2020,31-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
01-06-2020,01-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
02-06-2020,02-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
03-06-2020,03-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
04-06-2020,04-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
05-06-2020,05-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
06-06-2020,06-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
07-06-2020,07-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
08-06-2020,08-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
09-06-2020,09-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
10-06-2020,10-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,
11-06-2020,11-06-2020,Andaman and Nicobar Islands,34,1,33.0,0.0,,,
12-06-2020,12-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0,,,
13-06-2020,13-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0,,,
14-06-2020,14-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0,,,
15-06-2020,15-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0,,,
16-06-2020,16-06-2020,Andaman and Nicobar Islands,41,8,33.0,0.0,,,
17-06-2020,17-06-2020,Andaman and Nicobar Islands,44,11,33.0,0.0,,,
18-06-2020,18-06-2020,Andaman and Nicobar Islands,44,11,33.0,0.0,,,
19-06-2020,19-06-2020,Andaman and Nicobar Islands,44,11,33.0,0.0,,,
20-06-2020,20-06-2020,Andaman and Nicobar Islands,45,10,35.0,0.0,,,
21-06-2020,21-06-2020,Andaman and Nicobar Islands,47,11,36.0,0.0,,,
22-06-2020,22-06-2020,Andaman and Nicobar Islands,48,11,37.0,0.0,,,
23-06-2020,23-06-2020,Andaman and Nicobar Islands,48,11,37.0,0.0,,,
24-06-2020,24-06-2020,Andaman and Nicobar Islands,50,10,40.0,0.0,,,
25-06-2020,25-06-2020,Andaman and Nicobar Islands,56,13,43.0,0.0,,,
26-06-2020,26-06-2020,Andaman and Nicobar Islands,59,16,43.0,0.0,,,
27-06-2020,27-06-2020,Andaman and Nicobar Islands,72,29,43.0,0.0,,,
28-06-2020,28-06-2020,Andaman and Nicobar Islands,72,29,43.0,0.0,,,
29-06-2020,29-06-2020,Andaman and Nicobar Islands,76,31,45.0,0.0,,,
30-06-2020,30-06-2020,Andaman and Nicobar Islands,90,44,46.0,0.0,,,
01-07-2020,01-07-2020,Andaman and Nicobar Islands,97,47,50.0,0.0,,,
02-07-2020,02-07-2020,Andaman and Nicobar Islands,100,50,50.0,0.0,,,
03-07-2020,03-07-2020,Andaman and Nicobar Islands,109,58,51.0,0.0,,,
04-07-2020,04-07-2020,Andaman and Nicobar Islands,116,62,54.0,0.0,,,
05-07-2020,05-07-2020,Andaman and Nicobar Islands,119,53,66.0,0.0,,,
06-07-2020,06-07-2020,Andaman and Nicobar Islands,125,53,72.0,0.0,,,
07-07-2020,07-07-2020,Andaman and Nicobar Islands,141,67,74.0,0.0,,,
08-07-2020,08-07-2020,Andaman and Nicobar Islands,147,72,75.0,0.0,,,
09-07-2020,09-07-2020,Andaman and Nicobar Islands,149,72,77.0,0.0,,,
10-07-2020,10-07-2020,Andaman and Nicobar Islands,151,68,83.0,0.0,,,
11-07-2020,11-07-2020,Andaman and Nicobar Islands,156,64,92.0,0.0,,,
12-07-2020,12-07-2020,Andaman and Nicobar Islands,163,70,93.0,0.0,,,
13-07-2020,13-07-2020,Andaman and Nicobar Islands,163,70,93.0,0.0,,,
14-07-2020,14-07-2020,Andaman and Nicobar Islands,166,57,109.0,0.0,,,
15-07-2020,15-07-2020,Andaman and Nicobar Islands,166,57,109.0,0.0,,,
16-07-2020,16-07-2020,Andaman and Nicobar Islands,176,46,130.0,0.0,,,
17-07-2020,17-07-2020,Andaman and Nicobar Islands,180,47,133.0,0.0,,,
18-07-2020,18-07-2020,Andaman and Nicobar Islands,194,52,142.0,0.0,,,
19-07-2020,19-07-2020,Andaman and Nicobar Islands,198,53,145.0,0.0,,,
20-07-2020,20-07-2020,Andaman and Nicobar Islands,203,58,145.0,0.0,,,
21-07-2020,21-07-2020,Andaman and Nicobar Islands,207,55,152.0,0.0,,,
22-07-2020,22-07-2020,Andaman and Nicobar Islands,212,53,159.0,0.0,,,
23-07-2020,23-07-2020,Andaman and Nicobar Islands,221,58,163.0,0.0,,,
24-07-2020,24-07-2020,Andaman and Nicobar Islands,240,70,170.0,0.0,,,
25-07-2020,25-07-2020,Andaman and Nicobar Islands,259,85,174.0,0.0,,,
26-07-2020,26-07-2020,Andaman and Nicobar Islands,290,114,176.0,0.0,,,
27-07-2020,27-07-2020,Andaman and Nicobar Islands,324,142,182.0,0.0,,,
28-07-2020,28-07-2020,Andaman and Nicobar Islands,338,145,192.0,1.0,,,
29-07-2020,29-07-2020,Andaman and Nicobar Islands,363,166,196.0,1.0,,,
29-07-2020,29-07-2020,Andaman and Nicobar Islands,,,,,360.0,366.9561984383627,352.6510538808779
30-07-2020,30-07-2020,Andaman and Nicobar Islands,,,,,382.0,394.4411273422426,369.0797696012415
31-07-2020,31-07-2020,Andaman and Nicobar Islands,,,,,404.0,422.6039648569049,385.13696901582546
01-08-2020,01-08-2020,Andaman and Nicobar Islands,,,,,426.0,451.50325463751,400.7641084694695
02-08-2020,02-08-2020,Andaman and Nicobar Islands,,,,,449.0,481.120576877279,415.97960776895246
03-08-2020,03-08-2020,Andaman and Nicobar Islands,,,,,471.0,511.42640571349705,430.8129927769892
04-08-2020,04-08-2020,Andaman and Nicobar Islands,,,,,494.0,542.3916585456698,445.2933460940741
05-08-2020,05-08-2020,Andaman and Nicobar Islands,,,,,517.0,573.9900423063208,459.44696078768345
06-08-2020,06-08-2020,Andaman and Nicobar Islands,,,,,540.0,606.1982799454652,473.29711390780244
07-08-2020,07-08-2020,Andaman and Nicobar Islands,,,,,563.0,638.9958188708408,486.8643580466928
08-08-2020,08-08-2020,Andaman and Nicobar Islands,,,,,586.0,672.3644474748316,500.1669048119709
09-08-2020,09-08-2020,Andaman and Nicobar Islands,,,,,610.0,706.2879370422174,513.2209829188569
10-08-2020,10-08-2020,Andaman and Nicobar Islands,,,,,633.0,740.7517361354166,526.0411438049323
11-08-2020,11-08-2020,Andaman and Nicobar Islands,,,,,657.0,775.7427175547089,538.6405146699176
12-08-2020,12-08-2020,Andaman and Nicobar Islands,,,,,681.0,811.2489707031397,551.031006110767
13-08-2020,13-08-2020,Andaman and Nicobar Islands,,,,,705.0,847.2596312061147,563.223482502075
14-08-2020,14-08-2020,Andaman and Nicobar Islands,,,,,729.0,883.764740528483,575.2279023789926
15-08-2020,15-08-2020,Andaman and Nicobar Islands,,,,,754.0,920.7551296197983,587.0534347919661
16-08-2020,16-08-2020,Andaman and Nicobar Islands,,,,,778.0,958.2223218285883,598.7085563924677
17-08-2020,17-08-2020,Andaman and Nicobar Islands,,,,,803.0,996.1584513355618,610.2011329997887
18-08-2020,18-08-2020,Andaman and Nicobar Islands,,,,,828.0,1034.5561941585086,621.5384885961391
19-08-2020,19-08-2020,Andaman and Nicobar Islands,,,,,853.0,1073.4087094078961,632.7274640710516
20-08-2020,20-08-2020,Andaman and Nicobar Islands,,,,,878.0,1112.709588957206,643.7744675510447
21-08-2020,21-08-2020,Andaman and Nicobar Islands,,,,,904.0,1152.4528140674188,654.6855177751378
22-08-2020,22-08-2020,Andaman and Nicobar Islands,,,,,929.0,1192.6327177963349,665.4662816855304
23-08-2020,23-08-2020,Andaman and Nicobar Islands,,,,,955.0,1233.2439522504728,676.1221071757035
24-08-2020,24-08-2020,Andaman and Nicobar Islands,,,,,980.0,1274.2814599152712,686.6580517602193
25-08-2020,25-08-2020,Andaman and Nicobar Islands,,,,,1006.0,1315.7404484396823,697.0789077901254
26-08-2020,26-08-2020,Andaman and Nicobar Islands,,,,,1033.0,1357.6163683626573,707.3892247264703
12-03-2020,12-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,
13-03-2020,13-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,
14-03-2020,14-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,
15-03-2020,15-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,
16-03-2020,16-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,
17-03-2020,17-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,
18-03-2020,18-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,
19-03-2020,19-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,
20-03-2020,20-03-2020,Andhra Pradesh,2,2,0.0,0.0,,,
21-03-2020,21-03-2020,Andhra Pradesh,3,3,0.0,0.0,,,
22-03-2020,22-03-2020,Andhra Pradesh,5,5,0.0,0.0,,,
23-03-2020,23-03-2020,Andhra Pradesh,7,7,0.0,0.0,,,
24-03-2020,24-03-2020,Andhra Pradesh,7,7,0.0,0.0,,,
25-03-2020,25-03-2020,Andhra Pradesh,8,8,0.0,0.0,,,
26-03-2020,26-03-2020,Andhra Pradesh,11,10,1.0,0.0,,,
27-03-2020,27-03-2020,Andhra Pradesh,12,11,1.0,0.0,,,
28-03-2020,28-03-2020,Andhra Pradesh,14,13,1.0,0.0,,,
29-03-2020,29-03-2020,Andhra Pradesh,14,13,1.0,0.0,,,
30-03-2020,30-03-2020,Andhra Pradesh,19,18,1.0,0.0,,,
31-03-2020,31-03-2020,Andhra Pradesh,40,39,1.0,0.0,,,
01-04-2020,01-04-2020,Andhra Pradesh,83,82,1.0,0.0,,,
02-04-2020,02-04-2020,Andhra Pradesh,86,84,1.0,1.0,,,
03-04-2020,03-04-2020,Andhra Pradesh,132,130,1.0,1.0,,,
04-04-2020,04-04-2020,Andhra Pradesh,161,159,1.0,1.0,,,
05-04-2020,05-04-2020,Andhra Pradesh,161,159,1.0,1.0,,,
06-04-2020,06-04-2020,Andhra Pradesh,226,222,1.0,3.0,,,
07-04-2020,07-04-2020,Andhra Pradesh,266,262,1.0,3.0,,,
08-04-2020,08-04-2020,Andhra Pradesh,305,300,1.0,4.0,,,
09-04-2020,09-04-2020,Andhra Pradesh,348,338,6.0,4.0,,,
10-04-2020,10-04-2020,Andhra Pradesh,348,338,6.0,4.0,,,
11-04-2020,11-04-2020,Andhra Pradesh,363,350,7.0,6.0,,,
12-04-2020,12-04-2020,Andhra Pradesh,381,364,11.0,6.0,,,
13-04-2020,13-04-2020,Andhra Pradesh,427,409,11.0,7.0,,,
14-04-2020,14-04-2020,Andhra Pradesh,432,414,11.0,7.0,,,
15-04-2020,15-04-2020,Andhra Pradesh,483,458,16.0,9.0,,,
16-04-2020,16-04-2020,Andhra Pradesh,525,491,20.0,14.0,,,
17-04-2020,17-04-2020,Andhra Pradesh,534,500,20.0,14.0,,,
18-04-2020,18-04-2020,Andhra Pradesh,572,522,36.0,14.0,,,
19-04-2020,19-04-2020,Andhra Pradesh,603,546,42.0,15.0,,,
20-04-2020,20-04-2020,Andhra Pradesh,646,589,42.0,15.0,,,
21-04-2020,21-04-2020,Andhra Pradesh,722,610,92.0,20.0,,,
22-04-2020,22-04-2020,Andhra Pradesh,757,639,96.0,22.0,,,
23-04-2020,23-04-2020,Andhra Pradesh,813,669,120.0,24.0,,,
24-04-2020,24-04-2020,Andhra Pradesh,895,727,141.0,27.0,,,
25-04-2020,25-04-2020,Andhra Pradesh,955,781,145.0,29.0,,,
26-04-2020,26-04-2020,Andhra Pradesh,1061,859,171.0,31.0,,,
27-04-2020,27-04-2020,Andhra Pradesh,1097,835,231.0,31.0,,,
28-04-2020,28-04-2020,Andhra Pradesh,1183,917,235.0,31.0,,,
29-04-2020,29-04-2020,Andhra Pradesh,1259,970,258.0,31.0,,,
30-04-2020,30-04-2020,Andhra Pradesh,1332,1014,287.0,31.0,,,
01-05-2020,01-05-2020,Andhra Pradesh,1403,1051,321.0,31.0,,,
02-05-2020,02-05-2020,Andhra Pradesh,1463,1027,403.0,33.0,,,
03-05-2020,03-05-2020,Andhra Pradesh,1525,1051,441.0,33.0,,,
04-05-2020,04-05-2020,Andhra Pradesh,1583,1062,488.0,33.0,,,
05-05-2020,05-05-2020,Andhra Pradesh,1650,1090,524.0,36.0,,,
06-05-2020,06-05-2020,Andhra Pradesh,1717,1092,589.0,36.0,,,
07-05-2020,07-05-2020,Andhra Pradesh,1777,1012,729.0,36.0,,,
08-05-2020,08-05-2020,Andhra Pradesh,1847,1029,780.0,38.0,,,
09-05-2020,09-05-2020,Andhra Pradesh,1887,1004,842.0,41.0,,,
10-05-2020,10-05-2020,Andhra Pradesh,1930,999,887.0,44.0,,,
11-05-2020,11-05-2020,Andhra Pradesh,1980,1010,925.0,45.0,,,
12-05-2020,12-05-2020,Andhra Pradesh,2018,998,975.0,45.0,,,
13-05-2020,13-05-2020,Andhra Pradesh,2090,988,1056.0,46.0,,,
14-05-2020,14-05-2020,Andhra Pradesh,2137,948,1142.0,47.0,,,
15-05-2020,15-05-2020,Andhra Pradesh,2205,965,1192.0,48.0,,,
16-05-2020,16-05-2020,Andhra Pradesh,2307,1007,1252.0,48.0,,,
17-05-2020,17-05-2020,Andhra Pradesh,2355,953,1353.0,49.0,,,
18-05-2020,18-05-2020,Andhra Pradesh,2407,901,1456.0,50.0,,,
19-05-2020,19-05-2020,Andhra Pradesh,2474,872,1552.0,50.0,,,
20-05-2020,20-05-2020,Andhra Pradesh,2532,859,1621.0,52.0,,,
21-05-2020,21-05-2020,Andhra Pradesh,2602,909,1640.0,53.0,,,
22-05-2020,22-05-2020,Andhra Pradesh,2647,885,1709.0,53.0,,,
23-05-2020,23-05-2020,Andhra Pradesh,2709,891,1763.0,55.0,,,
24-05-2020,24-05-2020,Andhra Pradesh,2757,892,1809.0,56.0,,,
25-05-2020,25-05-2020,Andhra Pradesh,2823,911,1856.0,56.0,,,
26-05-2020,26-05-2020,Andhra Pradesh,3110,1158,1896.0,56.0,,,
27-05-2020,27-05-2020,Andhra Pradesh,3171,1105,2009.0,57.0,,,
28-05-2020,28-05-2020,Andhra Pradesh,3171,1056,2057.0,58.0,,,
29-05-2020,29-05-2020,Andhra Pradesh,3251,1067,2125.0,59.0,,,
30-05-2020,30-05-2020,Andhra Pradesh,3436,1150,2226.0,60.0,,,
31-05-2020,31-05-2020,Andhra Pradesh,3569,1220,2289.0,60.0,,,
01-06-2020,01-06-2020,Andhra Pradesh,3679,1268,2349.0,62.0,,,
02-06-2020,02-06-2020,Andhra Pradesh,3783,1341,2378.0,64.0,,,
03-06-2020,03-06-2020,Andhra Pradesh,3898,1413,2421.0,64.0,,,
04-06-2020,04-06-2020,Andhra Pradesh,4080,1546,2466.0,68.0,,,
05-06-2020,05-06-2020,Andhra Pradesh,4223,1613,2539.0,71.0,,,
06-06-2020,06-06-2020,Andhra Pradesh,4303,1654,2576.0,73.0,,,
07-06-2020,07-06-2020,Andhra Pradesh,4510,1817,2620.0,73.0,,,
08-06-2020,08-06-2020,Andhra Pradesh,4708,1951,2682.0,75.0,,,
09-06-2020,09-06-2020,Andhra Pradesh,4851,2031,2745.0,75.0,,,
10-06-2020,10-06-2020,Andhra Pradesh,5070,2191,2802.0,77.0,,,
11-06-2020,11-06-2020,Andhra Pradesh,5269,2292,2899.0,78.0,,,
12-06-2020,12-06-2020,Andhra Pradesh,5429,2301,3048.0,80.0,,,
13-06-2020,13-06-2020,Andhra Pradesh,5680,2495,3105.0,80.0,,,
14-06-2020,14-06-2020,Andhra Pradesh,5965,2688,3195.0,82.0,,,
15-06-2020,15-06-2020,Andhra Pradesh,6163,2765,3314.0,84.0,,,
16-06-2020,16-06-2020,Andhra Pradesh,6456,3052,3316.0,88.0,,,
17-06-2020,17-06-2020,Andhra Pradesh,6841,3244,3509.0,88.0,,,
18-06-2020,18-06-2020,Andhra Pradesh,7071,3340,3641.0,90.0,,,
19-06-2020,19-06-2020,Andhra Pradesh,7518,3637,3789.0,92.0,,,
20-06-2020,20-06-2020,Andhra Pradesh,7961,3948,3917.0,96.0,,,
21-06-2020,21-06-2020,Andhra Pradesh,8452,4240,4111.0,101.0,,,
22-06-2020,22-06-2020,Andhra Pradesh,8999,4562,4331.0,106.0,,,
23-06-2020,23-06-2020,Andhra Pradesh,9372,4766,4495.0,111.0,,,
24-06-2020,24-06-2020,Andhra Pradesh,10002,5284,4599.0,119.0,,,
25-06-2020,25-06-2020,Andhra Pradesh,10331,5428,4779.0,124.0,,,
26-06-2020,26-06-2020,Andhra Pradesh,10884,5760,4988.0,136.0,,,
27-06-2020,27-06-2020,Andhra Pradesh,11489,6145,5196.0,148.0,,,
28-06-2020,28-06-2020,Andhra Pradesh,12285,6648,5480.0,157.0,,,
29-06-2020,29-06-2020,Andhra Pradesh,13241,7164,5908.0,169.0,,,
30-06-2020,30-06-2020,Andhra Pradesh,13891,7479,6232.0,180.0,,,
01-07-2020,01-07-2020,Andhra Pradesh,14595,7897,6511.0,187.0,,,
02-07-2020,02-07-2020,Andhra Pradesh,15252,8071,6988.0,193.0,,,
03-07-2020,03-07-2020,Andhra Pradesh,16097,8586,7313.0,198.0,,,
04-07-2020,04-07-2020,Andhra Pradesh,16934,9096,7632.0,206.0,,,
05-07-2020,05-07-2020,Andhra Pradesh,17699,9473,8008.0,218.0,,,
06-07-2020,06-07-2020,Andhra Pradesh,18697,10043,8422.0,232.0,,,
07-07-2020,07-07-2020,Andhra Pradesh,20019,10860,8920.0,239.0,,,
08-07-2020,08-07-2020,Andhra Pradesh,21197,11200,9745.0,252.0,,,
09-07-2020,09-07-2020,Andhra Pradesh,22259,10894,11101.0,264.0,,,
10-07-2020,10-07-2020,Andhra Pradesh,23814,11383,12154.0,277.0,,,
11-07-2020,11-07-2020,Andhra Pradesh,25422,11936,13194.0,292.0,,,
12-07-2020,12-07-2020,Andhra Pradesh,27235,12533,14393.0,309.0,,,
13-07-2020,13-07-2020,Andhra Pradesh,29168,13428,15412.0,328.0,,,
14-07-2020,14-07-2020,Andhra Pradesh,31103,14274,16464.0,365.0,,,
15-07-2020,15-07-2020,Andhra Pradesh,33019,15144,17467.0,408.0,,,
16-07-2020,16-07-2020,Andhra Pradesh,35451,16621,18378.0,452.0,,,
17-07-2020,17-07-2020,Andhra Pradesh,38044,18159,19393.0,492.0,,,
18-07-2020,18-07-2020,Andhra Pradesh,40646,19814,20298.0,534.0,,,
19-07-2020,19-07-2020,Andhra Pradesh,44609,22260,21763.0,586.0,,,
20-07-2020,20-07-2020,Andhra Pradesh,49650,26118,22890.0,642.0,,,
21-07-2020,21-07-2020,Andhra Pradesh,53724,28800,24228.0,696.0,,,
22-07-2020,22-07-2020,Andhra Pradesh,58668,32336,25574.0,758.0,,,
23-07-2020,23-07-2020,Andhra Pradesh,64713,31763,32127.0,823.0,,,
24-07-2020,24-07-2020,Andhra Pradesh,72711,34272,37555.0,884.0,,,
25-07-2020,25-07-2020,Andhra Pradesh,80858,39990,39935.0,933.0,,,
26-07-2020,26-07-2020,Andhra Pradesh,88671,44431,43255.0,985.0,,,
27-07-2020,27-07-2020,Andhra Pradesh,96298,48956,46301.0,1041.0,,,
28-07-2020,28-07-2020,Andhra Pradesh,102349,51701,49558.0,1090.0,,,
29-07-2020,29-07-2020,Andhra Pradesh,110297,56527,52622.0,1148.0,,,
29-07-2020,29-07-2020,Andhra Pradesh,,,,,108030.0,108632.46782788266,107427.12636862365
30-07-2020,30-07-2020,Andhra Pradesh,,,,,113752.0,115241.52536898623,112261.86878099472
31-07-2020,31-07-2020,Andhra Pradesh,,,,,119515.0,122107.72455195656,116921.67530846734
01-08-2020,01-08-2020,Andhra Pradesh,,,,,125319.0,129195.71483434728,121441.8964934879
02-08-2020,02-08-2020,Andhra Pradesh,,,,,131164.0,136483.2416733159,125844.78687889887
03-08-2020,03-08-2020,Andhra Pradesh,,,,,137050.0,143954.64981252176,130146.00172104099
04-08-2020,04-08-2020,Andhra Pradesh,,,,,142978.0,151598.15797205083,134357.32229982817
05-08-2020,05-08-2020,Andhra Pradesh,,,,,148946.0,159404.4870235422,138488.0277436214
06-08-2020,06-08-2020,Andhra Pradesh,,,,,154956.0,167366.08414798975,142545.67087142676
07-08-2020,07-08-2020,Andhra Pradesh,,,,,161007.0,175476.64668406235,146536.55434457542
08-08-2020,08-08-2020,Andhra Pradesh,,,,,167098.0,183730.81158199822,150466.0412128291
09-08-2020,09-08-2020,Andhra Pradesh,,,,,173231.0,192123.94309192937,154338.76722605585
10-08-2020,10-08-2020,Andhra Pradesh,,,,,179405.0,200651.98204294938,158158.79155516202
11-08-2020,11-08-2020,Andhra Pradesh,,,,,185621.0,209311.33549879864,161929.70713640732
12-08-2020,12-08-2020,Andhra Pradesh,,,,,191877.0,218098.79387232751,165654.7235569413
13-08-2020,13-08-2020,Andhra Pradesh,,,,,198174.0,227011.46729700424,169336.73068329575
14-08-2020,14-08-2020,Andhra Pradesh,,,,,204513.0,236046.73586155442,172978.34842674507
15-08-2020,15-08-2020,Andhra Pradesh,,,,,210892.0,245202.2100521602,176581.96630110714
16-08-2020,16-08-2020,Andhra Pradesh,,,,,217313.0,254475.69885953885,180149.77531566468
17-08-2020,17-08-2020,Andhra Pradesh,,,,,223774.0,263865.1837417104,183683.79401239764
18-08-2020,18-08-2020,Andhra Pradesh,,,,,230277.0,273368.7971291563,187185.88996082457
19-08-2020,19-08-2020,Andhra Pradesh,,,,,236821.0,282984.8045019596,190657.7976808624
20-08-2020,20-08-2020,Andhra Pradesh,,,,,243406.0,292711.5893103994,194101.13372223213
21-08-2020,21-08-2020,Andhra Pradesh,,,,,250033.0,302547.6401841957,197517.40945521358
22-08-2020,22-08-2020,Andhra Pradesh,,,,,256700.0,312491.5400024021,200908.04200075334
23-08-2020,23-08-2020,Andhra Pradesh,,,,,263408.0,322541.95648986,204274.3636340099
