S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1,12/03/2020,India,74,71,3,0
2,13/03/2020,India,75,71,3,1
3,14/03/2020,India,84,72,10,2
4,15/03/2020,India,107,95,10,2
5,16/03/2020,India,114,99,13,2
6,17/03/2020,India,137,120,14,3
7,18/03/2020,India,146,129,14,3
8,19/03/2020,India,166,148,15,3
9,20/03/2020,India,195,171,20,4
10,21/03/2020,India,258,231,23,4
11,22/03/2020,India,360,329,24,7
12,23/03/2020,India,433,402,24,7
13,24/03/2020,India,492,446,37,9
14,25/03/2020,India,519,469,40,10
15,26/03/2020,India,649,593,43,13
16,27/03/2020,India,724,640,67,17
17,28/03/2020,India,909,810,80,19
18,29/03/2020,India,979,867,87,25
19,30/03/2020,India,1071,942,100,29
20,31/03/2020,India,1397,1238,124,35
21,01/04/2020,India,1637,1466,133,38
22,02/04/2020,India,1965,1764,151,50
23,03/04/2020,India,2301,2088,157,56
24,04/04/2020,India,2902,2650,184,68
25,05/04/2020,India,3374,3030,267,77
26,06/04/2020,India,4067,3666,292,109
27,07/04/2020,India,4421,3981,326,114
28,08/04/2020,India,5194,4643,402,149
29,09/04/2020,India,5734,5095,473,166
30,10/04/2020,India,6412,5709,504,199
31,11/04/2020,India,7447,6565,643,239
32,12/04/2020,India,8356,7367,716,273
33,13/04/2020,India,9152,7987,857,308
34,14/04/2020,India,10363,8988,1036,339
35,15/04/2020,India,11439,9756,1306,377
36,16/04/2020,India,12380,10477,1489,414
37,17/04/2020,India,13387,11201,1749,437
38,18/04/2020,India,14378,11906,1992,480
39,19/04/2020,India,15712,12974,2231,507
40,20/04/2020,India,17265,14175,2547,543
41,21/04/2020,India,18601,14759,3252,590
42,22/04/2020,India,19984,15474,3870,640
43,23/04/2020,India,21393,16454,4258,681
44,24/04/2020,India,23077,17610,4749,718
45,25/04/2020,India,24506,18668,5063,775
46,26/04/2020,India,26496,19868,5804,824
47,27/04/2020,India,27892,20835,6185,872
48,28/04/2020,India,29435,21632,6869,934
49,29/04/2020,India,31332,22629,7696,1007
50,30/04/2020,India,33050,23651,8325,1074
51,01/05/2020,India,35043,25007,8889,1147
52,02/05/2020,India,37336,26167,9951,1218
53,03/05/2020,India,39980,28046,10633,1301
54,04/05/2020,India,42533,29453,11707,1373
55,05/05/2020,India,46433,32138,12727,1568
56,06/05/2020,India,49390,33513,14183,1694
57,07/05/2020,India,52951,35901,15267,1783
58,08/05/2020,India,56341,37915,16540,1886
59,09/05/2020,India,59662,39834,17847,1981
60,10/05/2020,India,62939,41472,19358,2109
61,11/05/2020,India,67152,44029,20917,2206
62,12/05/2020,India,70756,46008,22455,2293
63,13/05/2020,India,74281,47480,24386,2415
64,14/05/2020,India,78003,49219,26235,2549
65,15/05/2020,India,81970,51401,27920,2649
66,16/05/2020,India,85940,53035,30153,2752
67,17/05/2020,India,90927,53946,34109,2872
68,18/05/2020,India,96169,56316,36824,3029
69,19/05/2020,India,101139,58802,39174,3163
70,20/05/2020,India,106750,61149,42298,3303
71,21/05/2020,India,112359,63624,45300,3435
72,22/05/2020,India,118447,66330,48534,3583
73,23/05/2020,India,125101,69597,51784,3720
74,24/05/2020,India,131868,73560,54441,3867
75,25/05/2020,India,138845,77103,57721,4021
76,26/05/2020,India,145380,80722,60491,4167
77,27/05/2020,India,151767,83004,64426,4337
78,28/05/2020,India,158333,86110,67692,4531
79,29/05/2020,India,165799,89987,71106,4706
80,30/05/2020,India,173763,86422,82370,4971
81,31/05/2020,India,182143,89995,86984,5164
82,01/06/2020,India,190535,93322,91819,5394
83,02/06/2020,India,198706,97581,95527,5598
84,03/06/2020,India,207615,101497,100303,5815
85,04/06/2020,India,216919,106737,104107,6075
86,05/06/2020,India,226770,110960,109462,6348
87,06/06/2020,India,236657,115942,114073,6642
88,07/06/2020,India,246628,120406,119293,6929
89,08/06/2020,India,256611,125381,124095,7135
90,09/06/2020,India,266598,129917,129215,7466
91,10/06/2020,India,276583,133632,135206,7745
92,11/06/2020,India,286579,137448,141029,8102
93,12/06/2020,India,297535,141842,147195,8498
94,13/06/2020,India,308993,145779,154330,8884
95,14/06/2020,India,320922,149348,162379,9195
96,15/06/2020,India,332424,153106,169798,9520
97,16/06/2020,India,343091,153178,180013,9900
98,17/06/2020,India,354065,155227,186935,11903
99,18/06/2020,India,366946,160384,194325,12237
100,19/06/2020,India,380532,163248,204711,12573
101,20/06/2020,India,395048,168269,213831,12948
102,21/06/2020,India,410461,169451,227756,13254
103,22/06/2020,India,425282,174387,237196,13699
104,23/06/2020,India,440215,178014,248190,14011
105,24/06/2020,India,456183,183022,258685,14476
106,25/06/2020,India,473105,186514,271697,14894
107,26/06/2020,India,490401,189463,285637,15301
108,27/06/2020,India,508953,197387,295881,15685
109,28/06/2020,India,528859,203051,309713,16095
110,29/06/2020,India,548318,210120,321723,16475
111,30/06/2020,India,566840,215125,334822,16893
112,01/07/2020,India,585493,220114,347979,17400
113,02/07/2020,India,604641,226947,359860,17834
114,03/07/2020,India,625544,227439,379892,18213
115,04/07/2020,India,648315,235433,394227,18655
116,05/07/2020,India,673165,244814,409083,19268
117,06/07/2020,India,697413,253287,424433,19693
118,07/07/2020,India,719665,259557,439948,20160
119,08/07/2020,India,742417,264944,456831,20642
120,09/07/2020,India,767296,269789,476378,21129
121,10/07/2020,India,793802,276685,495513,21604
122,11/07/2020,India,820916,283407,515386,22123
123,12/07/2020,India,849553,292258,534621,22674
124,13/07/2020,India,878254,301609,553471,23174
125,27/03/2020,Andaman and Nicobar Islands,1,1,0,0
126,28/03/2020,Andaman and Nicobar Islands,6,6,0,0
127,29/03/2020,Andaman and Nicobar Islands,9,9,0,0
128,30/03/2020,Andaman and Nicobar Islands,9,9,0,0
129,31/03/2020,Andaman and Nicobar Islands,10,10,0,0
130,01/04/2020,Andaman and Nicobar Islands,10,10,0,0
131,02/04/2020,Andaman and Nicobar Islands,10,10,0,0
132,03/04/2020,Andaman and Nicobar Islands,10,10,0,0
133,04/04/2020,Andaman and Nicobar Islands,10,10,0,0
134,05/04/2020,Andaman and Nicobar Islands,10,10,0,0
135,06/04/2020,Andaman and Nicobar Islands,10,10,0,0
136,07/04/2020,Andaman and Nicobar Islands,10,10,0,0
137,08/04/2020,Andaman and Nicobar Islands,10,10,0,0
138,09/04/2020,Andaman and Nicobar Islands,11,11,0,0
139,10/04/2020,Andaman and Nicobar Islands,11,11,0,0
140,11/04/2020,Andaman and Nicobar Islands,11,11,0,0
141,12/04/2020,Andaman and Nicobar Islands,11,1,10,0
142,13/04/2020,Andaman and Nicobar Islands,11,1,10,0
143,14/04/2020,Andaman and Nicobar Islands,11,1,10,0
144,15/04/2020,Andaman and Nicobar Islands,11,1,10,0
145,16/04/2020,Andaman and Nicobar Islands,11,1,10,0
146,17/04/2020,Andaman and Nicobar Islands,11,1,10,0
147,18/04/2020,Andaman and Nicobar Islands,12,1,11,0
148,19/04/2020,Andaman and Nicobar Islands,14,3,11,0
149,20/04/2020,Andaman and Nicobar Islands,15,4,11,0
150,21/04/2020,Andaman and Nicobar Islands,16,5,11,0
151,22/04/2020,Andaman and Nicobar Islands,16,5,11,0
152,23/04/2020,Andaman and Nicobar Islands,18,7,11,0
153,24/04/2020,Andaman and Nicobar Islands,22,11,11,0
154,25/04/2020,Andaman and Nicobar Islands,27,16,11,0
155,26/04/2020,Andaman and Nicobar Islands,33,22,11,0
156,27/04/2020,Andaman and Nicobar Islands,33,22,11,0
157,28/04/2020,Andaman and Nicobar Islands,33,22,11,0
158,29/04/2020,Andaman and Nicobar Islands,33,18,15,0
159,30/04/2020,Andaman and Nicobar Islands,33,18,15,0
160,01/05/2020,Andaman and Nicobar Islands,33,17,16,0
161,02/05/2020,Andaman and Nicobar Islands,33,17,16,0
162,03/05/2020,Andaman and Nicobar Islands,33,17,16,0
163,04/05/2020,Andaman and Nicobar Islands,33,1,32,0
164,05/05/2020,Andaman and Nicobar Islands,33,1,32,0
165,06/05/2020,Andaman and Nicobar Islands,33,1,32,0
166,07/05/2020,Andaman and Nicobar Islands,33,1,32,0
167,08/05/2020,Andaman and Nicobar Islands,33,0,33,0
168,09/05/2020,Andaman and Nicobar Islands,33,0,33,0
169,10/05/2020,Andaman and Nicobar Islands,33,0,33,0
170,11/05/2020,Andaman and Nicobar Islands,33,0,33,0
171,12/05/2020,Andaman and Nicobar Islands,33,0,33,0
172,13/05/2020,Andaman and Nicobar Islands,33,0,33,0
173,14/05/2020,Andaman and Nicobar Islands,33,0,33,0
174,15/05/2020,Andaman and Nicobar Islands,33,0,33,0
175,16/05/2020,Andaman and Nicobar Islands,33,0,33,0
176,17/05/2020,Andaman and Nicobar Islands,33,0,33,0
177,18/05/2020,Andaman and Nicobar Islands,33,0,33,0
178,19/05/2020,Andaman and Nicobar Islands,33,0,33,0
179,20/05/2020,Andaman and Nicobar Islands,33,0,33,0
180,21/05/2020,Andaman and Nicobar Islands,33,0,33,0
181,22/05/2020,Andaman and Nicobar Islands,33,0,33,0
182,23/05/2020,Andaman and Nicobar Islands,33,0,33,0
183,24/05/2020,Andaman and Nicobar Islands,33,0,33,0
184,25/05/2020,Andaman and Nicobar Islands,33,0,33,0
185,26/05/2020,Andaman and Nicobar Islands,33,0,33,0
186,27/05/2020,Andaman and Nicobar Islands,33,0,33,0
187,28/05/2020,Andaman and Nicobar Islands,33,0,33,0
188,29/05/2020,Andaman and Nicobar Islands,33,0,33,0
189,30/05/2020,Andaman and Nicobar Islands,33,0,33,0
190,31/05/2020,Andaman and Nicobar Islands,33,0,33,0
191,01/06/2020,Andaman and Nicobar Islands,33,0,33,0
192,02/06/2020,Andaman and Nicobar Islands,33,0,33,0
193,03/06/2020,Andaman and Nicobar Islands,33,0,33,0
194,04/06/2020,Andaman and Nicobar Islands,33,0,33,0
195,05/06/2020,Andaman and Nicobar Islands,33,0,33,0
196,06/06/2020,Andaman and Nicobar Islands,33,0,33,0
197,07/06/2020,Andaman and Nicobar Islands,33,0,33,0
198,08/06/2020,Andaman and Nicobar Islands,33,0,33,0
199,09/06/2020,Andaman and Nicobar Islands,33,0,33,0
200,10/06/2020,Andaman and Nicobar Islands,33,0,33,0
201,11/06/2020,Andaman and Nicobar Islands,34,1,33,0
202,12/06/2020,Andaman and Nicobar Islands,38,5,33,0
203,13/06/2020,Andaman and Nicobar Islands,38,5,33,0
204,14/06/2020,Andaman and Nicobar Islands,38,5,33,0
205,15/06/2020,Andaman and Nicobar Islands,38,5,33,0
206,16/06/2020,Andaman and Nicobar Islands,41,8,33,0
207,17/06/2020,Andaman and Nicobar Islands,44,11,33,0
208,18/06/2020,Andaman and Nicobar Islands,44,11,33,0
209,19/06/2020,Andaman and Nicobar Islands,44,11,33,0
210,20/06/2020,Andaman and Nicobar Islands,45,10,35,0
211,21/06/2020,Andaman and Nicobar Islands,47,11,36,0
212,22/06/2020,Andaman and Nicobar Islands,48,11,37,0
213,23/06/2020,Andaman and Nicobar Islands,48,11,37,0
214,24/06/2020,Andaman and Nicobar Islands,50,10,40,0
215,25/06/2020,Andaman and Nicobar Islands,56,13,43,0
216,26/06/2020,Andaman and Nicobar Islands,59,16,43,0
217,27/06/2020,Andaman and Nicobar Islands,72,29,43,0
218,28/06/2020,Andaman and Nicobar Islands,72,29,43,0
219,29/06/2020,Andaman and Nicobar Islands,76,31,45,0
220,30/06/2020,Andaman and Nicobar Islands,90,44,46,0
221,01/07/2020,Andaman and Nicobar Islands,97,47,50,0
222,02/07/2020,Andaman and Nicobar Islands,100,50,50,0
223,03/07/2020,Andaman and Nicobar Islands,109,58,51,0
224,04/07/2020,Andaman and Nicobar Islands,116,62,54,0
225,05/07/2020,Andaman and Nicobar Islands,119,53,66,0
226,06/07/2020,Andaman and Nicobar Islands,125,53,72,0
227,07/07/2020,Andaman and Nicobar Islands,141,67,74,0
228,08/07/2020,Andaman and Nicobar Islands,147,72,75,0
229,09/07/2020,Andaman and Nicobar Islands,149,72,77,0
230,10/07/2020,Andaman and Nicobar Islands,151,68,83,0
231,11/07/2020,Andaman and Nicobar Islands,156,64,92,0
232,12/07/2020,Andaman and Nicobar Islands,163,70,93,0
233,13/07/2020,Andaman and Nicobar Islands,163,70,93,0
234,12/03/2020,Andhra Pradesh,1,1,0,0
235,13/03/2020,Andhra Pradesh,1,1,0,0
236,14/03/2020,Andhra Pradesh,1,1,0,0
237,15/03/2020,Andhra Pradesh,1,1,0,0
238,16/03/2020,Andhra Pradesh,1,1,0,0
239,17/03/2020,Andhra Pradesh,1,1,0,0
240,18/03/2020,Andhra Pradesh,1,1,0,0
241,19/03/2020,Andhra Pradesh,1,1,0,0
242,20/03/2020,Andhra Pradesh,2,2,0,0
243,21/03/2020,Andhra Pradesh,3,3,0,0
244,22/03/2020,Andhra Pradesh,5,5,0,0
245,23/03/2020,Andhra Pradesh,7,7,0,0
246,24/03/2020,Andhra Pradesh,7,7,0,0
247,25/03/2020,Andhra Pradesh,8,8,0,0
248,26/03/2020,Andhra Pradesh,11,10,1,0
249,27/03/2020,Andhra Pradesh,12,11,1,0
250,28/03/2020,Andhra Pradesh,14,13,1,0
251,29/03/2020,Andhra Pradesh,14,13,1,0
252,30/03/2020,Andhra Pradesh,19,18,1,0
253,31/03/2020,Andhra Pradesh,40,39,1,0
254,01/04/2020,Andhra Pradesh,83,82,1,0
255,02/04/2020,Andhra Pradesh,86,84,1,1
256,03/04/2020,Andhra Pradesh,132,130,1,1
257,04/04/2020,Andhra Pradesh,161,159,1,1
258,05/04/2020,Andhra Pradesh,161,159,1,1
259,06/04/2020,Andhra Pradesh,226,222,1,3
260,07/04/2020,Andhra Pradesh,266,262,1,3
261,08/04/2020,Andhra Pradesh,305,300,1,4
262,09/04/2020,Andhra Pradesh,348,338,6,4
263,10/04/2020,Andhra Pradesh,348,338,6,4
264,11/04/2020,Andhra Pradesh,363,350,7,6
265,12/04/2020,Andhra Pradesh,381,364,11,6
266,13/04/2020,Andhra Pradesh,427,409,11,7
267,14/04/2020,Andhra Pradesh,432,414,11,7
268,15/04/2020,Andhra Pradesh,483,458,16,9
269,16/04/2020,Andhra Pradesh,525,491,20,14
270,17/04/2020,Andhra Pradesh,534,500,20,14
271,18/04/2020,Andhra Pradesh,572,522,36,14
272,19/04/2020,Andhra Pradesh,603,546,42,15
273,20/04/2020,Andhra Pradesh,646,589,42,15
274,21/04/2020,Andhra Pradesh,722,610,92,20
275,22/04/2020,Andhra Pradesh,757,639,96,22
276,23/04/2020,Andhra Pradesh,813,669,120,24
277,24/04/2020,Andhra Pradesh,895,727,141,27
278,25/04/2020,Andhra Pradesh,955,781,145,29
279,26/04/2020,Andhra Pradesh,1061,859,171,31
280,27/04/2020,Andhra Pradesh,1097,835,231,31
281,28/04/2020,Andhra Pradesh,1183,917,235,31
282,29/04/2020,Andhra Pradesh,1259,970,258,31
283,30/04/2020,Andhra Pradesh,1332,1014,287,31
284,01/05/2020,Andhra Pradesh,1403,1051,321,31
285,02/05/2020,Andhra Pradesh,1463,1027,403,33
286,03/05/2020,Andhra Pradesh,1525,1051,441,33
287,04/05/2020,Andhra Pradesh,1583,1062,488,33
288,05/05/2020,Andhra Pradesh,1650,1090,524,36
289,06/05/2020,Andhra Pradesh,1717,1092,589,36
290,07/05/2020,Andhra Pradesh,1777,1012,729,36
291,08/05/2020,Andhra Pradesh,1847,1029,780,38
292,09/05/2020,Andhra Pradesh,1887,1004,842,41
293,10/05/2020,Andhra Pradesh,1930,999,887,44
294,11/05/2020,Andhra Pradesh,1980,1010,925,45
295,12/05/2020,Andhra Pradesh,2018,998,975,45
296,13/05/2020,Andhra Pradesh,2090,988,1056,46
297,14/05/2020,Andhra Pradesh,2137,948,1142,47
298,15/05/2020,Andhra Pradesh,2205,965,1192,48
299,16/05/2020,Andhra Pradesh,2307,1007,1252,48
300,17/05/2020,Andhra Pradesh,2355,953,1353,49
301,18/05/2020,Andhra Pradesh,2407,901,1456,50
302,19/05/2020,Andhra Pradesh,2474,872,1552,50
303,20/05/2020,Andhra Pradesh,2532,859,1621,52
304,21/05/2020,Andhra Pradesh,2602,909,1640,53
305,22/05/2020,Andhra Pradesh,2647,885,1709,53
306,23/05/2020,Andhra Pradesh,2709,891,1763,55
307,24/05/2020,Andhra Pradesh,2757,892,1809,56
308,25/05/2020,Andhra Pradesh,2823,911,1856,56
309,26/05/2020,Andhra Pradesh,3110,1158,1896,56
310,27/05/2020,Andhra Pradesh,3171,1105,2009,57
311,28/05/2020,Andhra Pradesh,3171,1056,2057,58
312,29/05/2020,Andhra Pradesh,3251,1067,2125,59
313,30/05/2020,Andhra Pradesh,3436,1150,2226,60
314,31/05/2020,Andhra Pradesh,3569,1220,2289,60
315,01/06/2020,Andhra Pradesh,3679,1268,2349,62
316,02/06/2020,Andhra Pradesh,3783,1341,2378,64
317,03/06/2020,Andhra Pradesh,3898,1413,2421,64
318,04/06/2020,Andhra Pradesh,4080,1546,2466,68
319,05/06/2020,Andhra Pradesh,4223,1613,2539,71
320,06/06/2020,Andhra Pradesh,4303,1654,2576,73
321,07/06/2020,Andhra Pradesh,4510,1817,2620,73
322,08/06/2020,Andhra Pradesh,4708,1951,2682,75
323,09/06/2020,Andhra Pradesh,4851,2031,2745,75
324,10/06/2020,Andhra Pradesh,5070,2191,2802,77
325,11/06/2020,Andhra Pradesh,5269,2292,2899,78
326,12/06/2020,Andhra Pradesh,5429,2301,3048,80
327,13/06/2020,Andhra Pradesh,5680,2495,3105,80
328,14/06/2020,Andhra Pradesh,5965,2688,3195,82
329,15/06/2020,Andhra Pradesh,6163,2765,3314,84
330,16/06/2020,Andhra Pradesh,6456,3052,3316,88
331,17/06/2020,Andhra Pradesh,6841,3244,3509,88
332,18/06/2020,Andhra Pradesh,7071,3340,3641,90
333,19/06/2020,Andhra Pradesh,7518,3637,3789,92
334,20/06/2020,Andhra Pradesh,7961,3948,3917,96
335,21/06/2020,Andhra Pradesh,8452,4240,4111,101
336,22/06/2020,Andhra Pradesh,8999,4562,4331,106
337,23/06/2020,Andhra Pradesh,9372,4766,4495,111
338,24/06/2020,Andhra Pradesh,10002,5284,4599,119
339,25/06/2020,Andhra Pradesh,10331,5428,4779,124
340,26/06/2020,Andhra Pradesh,10884,5760,4988,136
341,27/06/2020,Andhra Pradesh,11489,6145,5196,148
342,28/06/2020,Andhra Pradesh,12285,6648,5480,157
343,29/06/2020,Andhra Pradesh,13241,7164,5908,169
344,30/06/2020,Andhra Pradesh,13891,7479,6232,180
345,01/07/2020,Andhra Pradesh,14595,7897,6511,187
346,02/07/2020,Andhra Pradesh,15252,8071,6988,193
347,03/07/2020,Andhra Pradesh,16097,8586,7313,198
348,04/07/2020,Andhra Pradesh,16934,9096,7632,206
349,05/07/2020,Andhra Pradesh,17699,9473,8008,218
350,06/07/2020,Andhra Pradesh,18697,10043,8422,232
351,07/07/2020,Andhra Pradesh,20019,10860,8920,239
352,08/07/2020,Andhra Pradesh,21197,11200,9745,252
353,09/07/2020,Andhra Pradesh,22259,10894,11101,264
354,10/07/2020,Andhra Pradesh,23814,11383,12154,277
355,11/07/2020,Andhra Pradesh,25422,11936,13194,292
356,12/07/2020,Andhra Pradesh,27235,12533,14393,309
357,13/07/2020,Andhra Pradesh,29168,13428,15412,328
358,03/04/2020,Arunachal Pradesh,1,1,0,0
359,04/04/2020,Arunachal Pradesh,1,1,0,0
360,05/04/2020,Arunachal Pradesh,1,1,0,0
361,06/04/2020,Arunachal Pradesh,1,1,0,0
362,07/04/2020,Arunachal Pradesh,1,1,0,0
363,08/04/2020,Arunachal Pradesh,1,1,0,0
364,09/04/2020,Arunachal Pradesh,1,1,0,0
365,10/04/2020,Arunachal Pradesh,1,1,0,0
366,11/04/2020,Arunachal Pradesh,1,1,0,0
367,12/04/2020,Arunachal Pradesh,1,1,0,0
368,13/04/2020,Arunachal Pradesh,1,1,0,0
369,14/04/2020,Arunachal Pradesh,1,1,0,0
370,15/04/2020,Arunachal Pradesh,1,1,0,0
371,16/04/2020,Arunachal Pradesh,1,1,0,0
372,17/04/2020,Arunachal Pradesh,1,1,0,0
373,18/04/2020,Arunachal Pradesh,1,1,0,0
374,19/04/2020,Arunachal Pradesh,1,1,0,0
375,20/04/2020,Arunachal Pradesh,1,1,0,0
376,21/04/2020,Arunachal Pradesh,1,1,0,0
377,22/04/2020,Arunachal Pradesh,1,0,1,0
378,23/04/2020,Arunachal Pradesh,1,0,1,0
379,24/04/2020,Arunachal Pradesh,1,0,1,0
380,25/04/2020,Arunachal Pradesh,1,0,1,0
381,26/04/2020,Arunachal Pradesh,1,0,1,0
